Date,Province/State,Population,Deaths,Confirmed
2020-03-16,Mississippi,2976149,0,12
2020-03-16,Missouri,6626371,0,6
2020-03-16,Montana,1068778,0,6
2020-03-16,Nebraska,1934408,0,18
2020-03-16,Nevada,3080156,1,45
2020-03-16,New Hampshire,1359711,0,17
2020-03-16,New Jersey,8882190,2,176
2020-03-16,New Mexico,2096829,0,21
2020-03-16,New York,23628065,10,967
2020-03-16,North Carolina,10488084,0,39
2020-03-16,North Dakota,762062,0,1
2020-03-16,Ohio,11689100,0,50
2020-03-16,Oklahoma,3956971,0,10
2020-03-16,Oregon,4217737,1,39
2020-03-16,Pennsylvania,12801989,0,79
2020-03-16,Rhode Island,1059361,0,21
2020-03-16,South Carolina,5148714,1,30
2020-03-16,South Dakota,884659,1,10
2020-03-16,Tennessee,6829174,0,52
2020-03-16,Texas,28995881,0,85
2020-03-16,Utah,3205958,0,28
2020-03-16,Vermont,623989,0,12
2020-03-16,Virginia,8535519,2,49
2020-03-16,Washington,7614893,48,779
2020-03-16,Wisconsin,5822434,0,48
2020-03-16,Wyoming,578759,0,2
2020-03-17,Alabama,4903185,0,39
2020-03-17,Alaska,731545,0,3
2020-03-17,Arizona,7278717,0,20
2020-03-17,Arkansas,3017804,0,3
2020-03-17,California,39512223,12,700
2020-03-17,Colorado,5758736,2,167
2020-03-17,Connecticut,3565287,0,68
2020-03-17,Delaware,973764,0,16
2020-03-17,District of Columbia,705749,0,22
2020-03-17,Florida,21477737,5,190
2020-03-17,Georgia,10617423,1,146
2020-03-17,Hawaii,1415872,0,10
2020-03-17,Idaho,1787065,0,8
2020-03-17,Illinois,12671821,1,161
2020-03-17,Indiana,6732219,2,30
2020-03-17,Iowa,3155070,0,23
2020-03-17,Kansas,2913314,1,18
2020-03-17,Kentucky,4467673,1,26
2020-03-17,Louisiana,4648794,4,196
2020-03-17,Maine,1344212,0,26
2020-03-17,Maryland,6045680,0,60
2020-03-17,Massachusetts,6892503,0,217
2020-03-17,Michigan,9986857,0,63
2020-03-17,Minnesota,5639632,0,59
2020-03-17,Mississippi,2976149,0,21
2020-03-17,Missouri,6626371,0,12
2020-03-17,Montana,1068778,0,8
2020-03-17,Nebraska,1934408,0,23
2020-03-17,Nevada,3080156,1,55
2020-03-17,New Hampshire,1359711,0,26
